"X","Y","species","ID","diam1","status.x","diam2","status.y","growth","surv","size_class","n_con","n_het","BAc5","BAh5","BAc10","BAh10","BAc15","BAh15","BAc20","BAh20","gap","myc","shade","drought","waterlogging","diameter","count","habit","ph","tec","org","alt","tecat","camg","cations"
85.6,95.8,"LITU",3409,9,1,9,1,0,1,"sap",0,2,1046.684,2440.428,3301.735,7270.462,5242.698,16962.92,12576.22,27086.23,24.80337,"am",2.07,2.6,1.3,6.188298,94,"tree",6.371265,12.25319,7.845511,0.821999585727465,89.8374244684816,6.30090699764976,0.0305062108592563
85.6,211.1,"CACR",3702,3.7,1,5.6,1,0.2375,1,"sap",13,1,0,376.6848,0,9330.499,0,26058.79,0,40763.89,38.38361,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.567619,8.900548,8.084119,1.22896281743614,71.2433434104077,4.76855968759735,-0.0385219149444502
85.7,195.3,"CACR",3653,2,1,2.6,1,0.075,1,"seed",3,0,41.95597,1078.933,272.4468,9965.21,669.2928,20967.13,1232.447,41456.35,30.20318,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.712608,9.515319,7.994492,0.997623977792726,74.9416020561912,5.00925290433967,-0.0272829307857896
85.9,103.3,"CECA",3451,2.5,1,NA,3,NA,0,"seed",0,1,0,1359.249,10.7521,13909.55,39.59978,29371.04,128.3105,46302.32,25.55792,"am",3,4.05,1.31,2.754654,924,"shrub-tree",6.398893,12.16338,7.829929,0.887853972109153,90.2597842159665,6.23387340035127,0.0325676091523637
85.9,122,"COFL",3487,3,1,4,1,0.125,1,"sap",2,3,0,3504.635,0,7601.374,0,31286.41,0,50637.14,22.54088,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.50391,11.80701,7.813262,1.0067452429733,91.7332369044926,6.03232121345039,0.0414824228253137
85.9,233.8,"ACRU",3747,2.3,1,3.5,6,0.15,1,"seed",0,0,7.068583,2665.995,234.4885,8290.718,341.2948,23826.79,1099.84,42696.16,38.4558,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.348298,8.15446,8.2384,1.85630318415855,65.4441714463098,4.4326742951265,-0.0645232693480263
86,206.5,"CACR",3654,3.8,1,4.7,1,0.1125,1,"sap",10,1,0,4968.028,0,9069.503,0,21145.68,0,36548.45,34.50469,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.601722,9.077099,8.053025,1.15245082773098,72.1090319272834,4.84168199297016,-0.035097901512877
86.1,27.4,"JUVI",3262,2,1,NA,2,NA,0,"seed",0,1,0,1888.136,0,16222.86,0,31353.86,14.52201,45787.53,28.16991,"am",1.28,4.65,1.19,3.837329,659,"tree",5.926865,12.15372,8.153119,1.67265600268761,78.5277117530202,6.63684500202022,-0.0114430057316556
86.1,194.5,"CACR",3655,2,1,3.1,1,0.1375,1,"seed",4,0,73.12842,693.4909,243.7954,7880.536,657.7003,21105.63,1159.208,42260.41,30.18621,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.724114,9.542844,7.987094,1.00247595192042,75.2060892030975,5.02506906807995,-0.0265778923081038
86.2,30.5,"ACRU",3263,2.4,1,NA,3,NA,0,"seed",2,0,7.068583,6191.341,114.5582,10209.92,375.6795,33475.96,399.3278,46517.57,29.60202,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.931934,12.15337,8.131699,1.59485864891894,79.000634580134,6.636553109234,-0.0101162025546226
86.2,133.2,"COFL",3524,3.1,1,4.9,1,0.225,1,"sap",4,0,0,397.6078,0,8286.767,0,23471.3,0,44135.68,19.05722,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.454524,11.53235,7.813446,1.06092188260376,90.6494022538417,5.89999495188701,0.0372574041018726
86.2,175.7,"COFL",3576,2.7,1,NA,4,NA,1,"sap",4,4,0,2318.707,0,13633.07,0,24492.9,0,43641.5,26.80234,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.108534,10.21832,7.904608,0.953887530575285,84.1359293435717,5.30928324622111,0.00404161636837124
86.3,230.9,"CECA",3748,2.9,1,3.8,1,0.1125,1,"sap",0,3,0,5895.568,0,9143.59,0,18622.72,0,40265.11,39.21373,"am",3,4.05,1.31,2.754654,924,"shrub-tree",5.406075,8.22399,8.212772,1.77372670519946,67.0182709273666,4.47803865002167,-0.0585973115837453
86.4,69.7,"LITU",3371,10.8,1,11.1,1,0.0375,1,"sap",0,2,437.4354,3143.297,4517.547,6121.315,10657.17,13843.26,19859.42,18066.44,25.13322,"am",2.07,2.6,1.3,6.188298,94,"tree",6.324415,12.32073,7.920911,0.867931164642337,89.2368009401292,6.50751051356706,0.0226796939576627
86.4,214.5,"CACR",3703,5.2,1,7.8,1,0.325,1,"sap",5,1,0,376.6848,0,10438.38,0,19705.19,0,44141.4,40.74196,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.574112,8.763786,8.098366,1.32360726079892,71.4789802299569,4.72375315400989,-0.038439858691682
86.5,129.4,"COFL",3525,5.6,1,7.1,1,0.1875,1,"sap",3,1,0,0,0,11461.34,0,23918.31,0,44436.53,20.35534,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.496821,11.6431,7.809676,1.06901476876979,91.445220389415,5.95083904080207,0.0412445500093978
86.5,176.2,"OXAR",3604,12,1,12.5,1,0.0625,1,"sap",0,8,0,2318.707,314.1593,13318.91,314.1593,23053.07,1499.089,42142.41,26.95672,"eric",2.7,3,1.12,5.112033,482,"shrub-tree",6.102372,10.203,7.904077,0.96374277858088,83.9813150801774,5.30486294914991,0.00329837262660628
86.5,207.9,"CACR",3656,2.9,1,3.3,1,0.05,1,"sap",14,1,0,376.6848,0,6254.597,0,22052.72,0,38392.71,35.97739,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.60396,9.018031,8.056918,1.1906301569557,72.1855525618008,4.82468517358541,-0.0347999805439566
86.6,28,"ACRU",3265,2.1,1,NA,3,NA,0,"seed",1,1,49.0167,4255.334,114.5582,16529.43,375.6795,31844.93,390.7749,45638.43,28.41754,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.932091,12.13829,8.147074,1.68590889754107,78.7012623854713,6.64318151752515,-0.0112234334970396
86.6,86.8,"CECA",3412,4.1,1,5.5,1,0.175,1,"sap",2,3,0,2653.397,0,5525.237,0,20066.03,0,34632.23,23.76528,"am",3,4.05,1.31,2.754654,924,"shrub-tree",6.343879,12.31518,7.861839,0.846987018664161,89.4652436407013,6.39053900765852,0.0268530270682864
86.6,104.6,"COFL",3453,2.2,1,3,6,0.1,1,"seed",0,1,20.42821,1969.04,133.557,11392.07,401.8568,26995.16,478.7159,45596.65,25.8006,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.401373,12.15299,7.823714,0.939552057857213,90.2932718785302,6.22976848318964,0.0326546658452756
86.6,124.3,"MORU",3488,2.3,1,2.5,1,0.025,1,"seed",0,0,0,3657.811,0,8367.64,0,33752.42,6.157522,47832.9,22.23552,"am",2.34,2.88,1.57,2.919271,192,"tree",6.513258,11.77325,7.808363,1.05710988570852,91.8399345169035,6.01370108536447,0.0426044485848125
86.7,116.8,"COFL",3489,2,1,NA,2,NA,0,"seed",1,0,264.6399,3504.635,388.9527,13766.58,575.7675,31455.56,666.8423,47457.86,24.24347,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.484073,11.94274,7.810235,1.02506598353224,91.526905834853,6.10151724727566,0.0394017361058752
86.8,40.8,"FAGR",3314,4,1,5,1,0.125,1,"sap",0,2,0,4261.586,470.375,13426.7,613.5138,25851.33,613.5138,43783.15,33.47056,"ecm",4.75,1.5,1.5,4.154795,146,"tree",6.081953,12.16317,8.063883,1.3647785207369,83.1868759448671,6.62977013624972,0.00180277475998068
